Size(Bytes);Forward(ns);Reverse(ns);Random(ns)
1024;5.4000;5.4250;5.3875
2048;5.3875;5.3812;5.3875
4096;5.3938;5.4000;5.4000
8192;5.3984;5.3984;5.3922
16384;5.6195;5.3992;5.4016
32768;4.9832;4.3227;4.4098
65536;4.3303;5.4777;7.6643
131072;4.3922;4.3247;8.7401
262144;4.3228;4.3755;9.5144
524288;4.9138;4.3538;16.5623
1048576;4.3460;4.3425;28.3481
2097152;4.3478;4.3351;35.5104
4194304;4.3360;4.3325;36.4690
8388608;4.3350;4.3332;44.8127
16777216;4.3367;4.3365;143.9806
33554432;4.3369;4.3376;222.7550
